true,pred
10.672161,10.041406
11.658717,11.680658
9.567416,10.264066
11.3017845,11.466612
13.294646,13.255075
11.907798,11.826345
12.771598,12.645375
12.506012,12.411393
13.065883,12.973999
10.282613,9.496465
10.254681,9.636688
12.248119,12.237813
9.227947,8.812841
13.682862,13.819443
11.917778,11.870628
9.577915,8.81033
8.327074,8.740445
11.456791,11.265757
12.073858,11.979135
10.875135,10.193263
12.497929,12.48357
9.232299,8.753426
9.577469,9.204871
11.777381,11.79182
9.931842,9.593542
10.49559,9.8632555
11.437506,11.503743
13.415344,13.51817
9.424883,8.705674
12.685656,12.573827
12.160961,12.075395
13.513717,13.587693
11.44389,11.389434
12.505832,12.41214
13.632329,13.696042
13.295203,13.176169
8.910705,8.5301285
12.439985,12.428334
13.288552,13.177889
11.140242,11.325415
11.98514,11.981062
10.454501,10.138388
8.1402645,8.395664
11.498113,11.408911
9.928488,9.611592
8.840196,9.118968
9.937243,9.726259
9.428648,10.230487
9.290325,10.027774
8.001939,8.197512
9.801973,9.93496
9.113822,9.496609
9.129347,9.65645
8.799987,8.324492
8.622291,8.894429
13.569817,13.650918
12.176593,12.069971
13.60404,13.6066065
12.713975,12.694355
13.444262,13.412153
11.810323,11.648193
8.405694,8.533081
8.692283,9.250491
13.76496,13.821725
12.943728,13.11071
10.561267,10.018067
6.9746037,7.4737387
10.819324,10.9368515
9.655545,8.9705105
11.592298,11.558265
12.719446,12.675895
12.537789,11.985105
11.40842,11.480625
10.990755,10.707392
13.319168,13.492889
9.857875,9.478908
12.460773,12.499349
12.955663,12.870442
7.631758,8.159713
9.404595,9.634937
10.358662,9.686059
12.503965,12.545322
12.7214985,12.750554
9.378506,8.995394
10.405203,10.158662
12.475295,12.506971
13.777028,13.770687
12.578469,12.663918
13.850858,13.878981
9.556072,9.709046
9.776069,9.110393
10.957484,11.076711
11.672484,11.561162
12.722711,12.603044
12.985336,13.139055
9.25419,9.885675
9.810274,9.575065
13.450713,13.517065
8.630886,7.989002
12.8372345,12.880589
10.640815,10.60419
8.844219,8.207454
9.026333,8.627255
10.159607,9.552436
10.419229,10.514341
9.991018,9.321637
9.676863,10.19251
10.783595,10.647307
12.426237,12.383631
11.283224,10.988031
13.119408,13.212845
8.733552,8.950662
10.294203,9.988522
12.24486,12.281852
9.138155,8.483681
10.461036,10.155818
13.371546,13.349898
13.501286,13.414129
13.488768,13.655814
11.042877,11.107796
10.131065,9.782271
10.530517,10.427571
7.812533,7.380826
11.899563,11.916545
11.917084,11.78566
10.159065,9.72395
9.926561,9.671526
12.736395,12.693423
12.961839,12.844192
8.784322,8.1742735
10.359876,9.916001
8.765598,9.173126
10.070276,9.162432
9.435646,9.566905
11.735371,12.059047
11.126694,10.967633
11.79374,11.675646
10.490675,9.991045
13.309547,13.487524
9.053463,8.5003195
8.863018,8.978181
8.130926,7.8715
12.69356,12.754101
13.229686,13.243406
8.078763,7.8983946
10.554818,10.439136
12.24502,12.321303
12.8906765,12.9156065
10.874877,10.459142
12.829688,13.053415
9.359807,9.788724
12.578456,12.609343
11.533391,11.385697
9.024471,9.119087
8.721208,8.892848
12.338392,12.378139
11.309288,11.066187
9.983305,9.451645
10.549766,10.006765
12.351818,12.28214
11.640296,11.446374
13.270665,13.256463
9.71758,9.068648
10.363719,9.963403
13.361555,13.334916
9.002412,9.475249
11.260359,11.309692
8.263268,8.511188
9.648175,9.954036
8.869556,9.056595
11.469615,11.273749
9.018303,8.573867
9.958907,9.307086
9.38421,8.935984
10.214882,9.750569
8.208168,8.453953
7.8449693,8.210706
13.1068125,13.240444
12.988049,13.040691
10.916039,10.728978
10.673298,10.5579195
12.546324,12.63343
10.438459,9.936176
9.9433365,10.257623
10.091377,9.516021
8.830199,9.178029
7.6009836,8.172319
10.155606,10.151227
13.475947,13.475183
13.680379,13.608965
12.289402,12.295669
13.46828,13.323735
12.653924,12.707936
9.219255,9.256097
8.012137,8.372945
13.73147,13.656494
9.722503,9.127647
9.596317,9.892464
12.224835,12.108351
11.298979,11.07651
11.425313,11.390629
9.431706,9.956649
10.52198,9.979172
13.315946,13.178328
10.402138,9.865602
13.514775,13.417109
11.4703,11.451975
13.246897,13.2658615
10.995528,10.542552
9.123966,8.818121
8.489417,7.93467
12.432924,12.519819
12.175939,12.095826
13.698812,13.690132
9.297377,8.856752
10.780331,11.045018
11.1828575,11.01972
9.282399,9.637224
8.801174,8.377936
11.631135,11.331854
6.517775,6.8649354
12.423796,12.398789
11.723752,11.732192
11.056413,11.133153
9.134831,8.671687
9.998091,9.497471
9.412197,9.633745
12.656655,12.585889
11.367065,11.198007
12.241387,12.270724
8.4085245,8.690781
11.576301,11.321081
13.763748,13.708835
10.673514,10.279462
12.159049,11.990384
10.829566,10.739143
9.890938,9.523715
12.182069,12.29021
13.0383625,13.021368
12.48805,12.452437
8.747262,8.7674055
14.035553,14.092905
11.593358,11.468569
9.991158,9.420309
10.503105,9.839257
11.595633,11.453544
13.483719,13.39295
10.351445,10.123109
13.329178,13.28825
9.762895,9.225893
12.75631,12.847613
9.924776,9.721203
12.254479,12.219249
11.392663,11.399943
12.343863,12.479032
8.568696,9.022697
12.962914,12.89835
13.027902,13.110168
13.849113,13.902178
9.290253,9.445583
9.509031,9.737068
12.154588,12.209779
12.016187,11.938476
10.853912,10.443227
12.66018,12.7017765
10.6989155,10.361357
13.871351,13.900424
10.506617,9.827336
12.327057,12.144634
10.342232,9.861652
11.784103,11.755299
11.387822,11.39074
11.23352,10.826593
13.898744,13.913821
8.75356,9.022201
13.620063,13.695938
10.779557,10.916477
9.451928,8.955871
11.050812,11.076066
11.158283,10.963123
10.4302025,9.988309
12.693305,12.794499
13.584125,13.547553
13.106408,13.040076
8.001862,8.479172
11.702618,11.678371
11.920729,11.824927
8.613612,8.870167
11.707436,11.742714
12.618755,12.64478
7.6005497,7.9961896
8.761311,8.196108
10.393384,9.902805
10.563203,10.288538
13.577255,13.5008955
12.876581,12.957277
12.845267,12.910159
11.364449,11.117911
8.269806,8.585456
10.697171,10.306416
13.014625,12.985414
11.614462,11.478887
13.67403,13.624377
8.998921,9.476863
12.693369,12.651993
6.5024037,6.9798856
11.782079,11.634984
11.697172,11.71083
9.224308,8.851136
8.63087,8.618402
12.978856,13.065624
8.449909,8.765878
8.9161005,9.444422
11.312164,11.127938
12.679392,12.779362
8.796262,9.145666
11.296369,11.101602
9.990949,9.755899
12.227604,12.337853
10.388912,9.921601
12.186996,12.252121
