Epoch | Train Loss | Train R² | Val Loss | Val R²
Epoch 168 | Train Loss: 2.9879e-01 | R²: 0.8850 | Val Loss: 4.1649e-01 | R²: 0.8453
Epoch 169 | Train Loss: 3.2198e-01 | R²: 0.8760 | Val Loss: 5.2376e-01 | R²: 0.8055
Epoch 170 | Train Loss: 3.1239e-01 | R²: 0.8797 | Val Loss: 4.3488e-01 | R²: 0.8385
Epoch 171 | Train Loss: 3.0562e-01 | R²: 0.8823 | Val Loss: 4.0655e-01 | R²: 0.8490
Epoch 172 | Train Loss: 2.9414e-01 | R²: 0.8868 | Val Loss: 4.0054e-01 | R²: 0.8513
Epoch 173 | Train Loss: 2.8779e-01 | R²: 0.8892 | Val Loss: 4.2992e-01 | R²: 0.8404
Epoch 174 | Train Loss: 2.9578e-01 | R²: 0.8861 | Val Loss: 4.1146e-01 | R²: 0.8472
Epoch 175 | Train Loss: 2.9306e-01 | R²: 0.8872 | Val Loss: 4.1443e-01 | R²: 0.8461
Epoch 176 | Train Loss: 2.9581e-01 | R²: 0.8861 | Val Loss: 4.0047e-01 | R²: 0.8513
Epoch 177 | Train Loss: 2.8789e-01 | R²: 0.8892 | Val Loss: 3.9407e-01 | R²: 0.8537
Epoch 178 | Train Loss: 2.8568e-01 | R²: 0.8900 | Val Loss: 3.9919e-01 | R²: 0.8518
Epoch 179 | Train Loss: 2.8362e-01 | R²: 0.8908 | Val Loss: 4.0848e-01 | R²: 0.8483
Epoch 180 | Train Loss: 2.9307e-01 | R²: 0.8872 | Val Loss: 3.9325e-01 | R²: 0.8540
Epoch 181 | Train Loss: 2.8735e-01 | R²: 0.8894 | Val Loss: 4.0230e-01 | R²: 0.8506
Epoch 182 | Train Loss: 2.8425e-01 | R²: 0.8906 | Val Loss: 4.0535e-01 | R²: 0.8495
Epoch 183 | Train Loss: 2.8473e-01 | R²: 0.8904 | Val Loss: 3.9318e-01 | R²: 0.8540
Epoch 184 | Train Loss: 3.2020e-01 | R²: 0.8767 | Val Loss: 4.3853e-01 | R²: 0.8372
Epoch 185 | Train Loss: 2.8431e-01 | R²: 0.8905 | Val Loss: 3.8320e-01 | R²: 0.8577
Epoch 186 | Train Loss: 2.8291e-01 | R²: 0.8911 | Val Loss: 3.9446e-01 | R²: 0.8535
Epoch 187 | Train Loss: 2.7705e-01 | R²: 0.8933 | Val Loss: 4.0540e-01 | R²: 0.8495
Epoch 188 | Train Loss: 2.7395e-01 | R²: 0.8945 | Val Loss: 3.7897e-01 | R²: 0.8593
Epoch 189 | Train Loss: 2.8038e-01 | R²: 0.8921 | Val Loss: 4.2130e-01 | R²: 0.8436
Epoch 190 | Train Loss: 2.7783e-01 | R²: 0.8930 | Val Loss: 3.7458e-01 | R²: 0.8609
Epoch 191 | Train Loss: 2.8658e-01 | R²: 0.8897 | Val Loss: 3.9610e-01 | R²: 0.8529
Epoch 192 | Train Loss: 2.7439e-01 | R²: 0.8944 | Val Loss: 3.9671e-01 | R²: 0.8527
Epoch 193 | Train Loss: 2.8280e-01 | R²: 0.8911 | Val Loss: 4.4781e-01 | R²: 0.8337
Epoch 194 | Train Loss: 2.7749e-01 | R²: 0.8932 | Val Loss: 3.6991e-01 | R²: 0.8626
Epoch 195 | Train Loss: 2.8438e-01 | R²: 0.8905 | Val Loss: 3.8909e-01 | R²: 0.8555
Epoch 196 | Train Loss: 2.8342e-01 | R²: 0.8909 | Val Loss: 3.8334e-01 | R²: 0.8577
Epoch 197 | Train Loss: 2.6644e-01 | R²: 0.8974 | Val Loss: 3.7383e-01 | R²: 0.8612
Epoch 198 | Train Loss: 2.6174e-01 | R²: 0.8992 | Val Loss: 3.7500e-01 | R²: 0.8608
Epoch 199 | Train Loss: 2.6575e-01 | R²: 0.8977 | Val Loss: 3.9333e-01 | R²: 0.8539
Epoch 200 | Train Loss: 2.6225e-01 | R²: 0.8990 | Val Loss: 3.6275e-01 | R²: 0.8653
Epoch 201 | Train Loss: 2.6507e-01 | R²: 0.8980 | Val Loss: 3.9214e-01 | R²: 0.8544
Epoch 202 | Train Loss: 2.6211e-01 | R²: 0.8991 | Val Loss: 3.7223e-01 | R²: 0.8618
Epoch 203 | Train Loss: 2.6999e-01 | R²: 0.8961 | Val Loss: 3.8326e-01 | R²: 0.8577
Epoch 204 | Train Loss: 2.6088e-01 | R²: 0.8996 | Val Loss: 3.7197e-01 | R²: 0.8619
Epoch 205 | Train Loss: 2.5390e-01 | R²: 0.9023 | Val Loss: 3.9146e-01 | R²: 0.8546
Epoch 206 | Train Loss: 2.6730e-01 | R²: 0.8971 | Val Loss: 3.7282e-01 | R²: 0.8616
Epoch 207 | Train Loss: 2.7710e-01 | R²: 0.8933 | Val Loss: 5.0221e-01 | R²: 0.8135
Epoch 208 | Train Loss: 2.7286e-01 | R²: 0.8950 | Val Loss: 4.0156e-01 | R²: 0.8509
Epoch 209 | Train Loss: 2.6008e-01 | R²: 0.8999 | Val Loss: 3.6941e-01 | R²: 0.8628
Epoch 210 | Train Loss: 2.6603e-01 | R²: 0.8976 | Val Loss: 3.6811e-01 | R²: 0.8633
Epoch 211 | Train Loss: 2.4868e-01 | R²: 0.9043 | Val Loss: 3.7261e-01 | R²: 0.8616
Epoch 212 | Train Loss: 2.5049e-01 | R²: 0.9036 | Val Loss: 3.7809e-01 | R²: 0.8596
Epoch 213 | Train Loss: 2.7695e-01 | R²: 0.8934 | Val Loss: 4.9464e-01 | R²: 0.8163
Epoch 214 | Train Loss: 2.8178e-01 | R²: 0.8915 | Val Loss: 3.6560e-01 | R²: 0.8642
Epoch 215 | Train Loss: 2.5766e-01 | R²: 0.9008 | Val Loss: 3.7808e-01 | R²: 0.8596
Epoch 216 | Train Loss: 2.3924e-01 | R²: 0.9079 | Val Loss: 3.8298e-01 | R²: 0.8578
Epoch 217 | Train Loss: 2.4239e-01 | R²: 0.9067 | Val Loss: 3.7360e-01 | R²: 0.8613
Epoch 218 | Train Loss: 2.5568e-01 | R²: 0.9016 | Val Loss: 3.6626e-01 | R²: 0.8640
Epoch 219 | Train Loss: 2.3816e-01 | R²: 0.9083 | Val Loss: 3.5011e-01 | R²: 0.8700
Epoch 220 | Train Loss: 2.5001e-01 | R²: 0.9038 | Val Loss: 3.4610e-01 | R²: 0.8715
Epoch 221 | Train Loss: 2.5338e-01 | R²: 0.9025 | Val Loss: 3.5711e-01 | R²: 0.8674
Epoch 222 | Train Loss: 2.4587e-01 | R²: 0.9053 | Val Loss: 3.3998e-01 | R²: 0.8738
Epoch 223 | Train Loss: 2.4835e-01 | R²: 0.9044 | Val Loss: 3.7328e-01 | R²: 0.8614
Epoch 224 | Train Loss: 2.4044e-01 | R²: 0.9074 | Val Loss: 3.5383e-01 | R²: 0.8686
Epoch 225 | Train Loss: 2.4481e-01 | R²: 0.9058 | Val Loss: 3.7902e-01 | R²: 0.8593
Epoch 226 | Train Loss: 2.4152e-01 | R²: 0.9070 | Val Loss: 3.7122e-01 | R²: 0.8622
Epoch 227 | Train Loss: 2.3647e-01 | R²: 0.9090 | Val Loss: 3.4337e-01 | R²: 0.8725
Epoch 228 | Train Loss: 2.3084e-01 | R²: 0.9111 | Val Loss: 3.4571e-01 | R²: 0.8716
Epoch 229 | Train Loss: 2.3485e-01 | R²: 0.9096 | Val Loss: 3.5245e-01 | R²: 0.8691
Epoch 230 | Train Loss: 2.4126e-01 | R²: 0.9071 | Val Loss: 3.5564e-01 | R²: 0.8679
Epoch 231 | Train Loss: 2.4735e-01 | R²: 0.9048 | Val Loss: 3.5382e-01 | R²: 0.8686
Epoch 232 | Train Loss: 2.3219e-01 | R²: 0.9106 | Val Loss: 3.3573e-01 | R²: 0.8753
Epoch 233 | Train Loss: 2.2870e-01 | R²: 0.9120 | Val Loss: 3.3129e-01 | R²: 0.8770
Epoch 234 | Train Loss: 2.2844e-01 | R²: 0.9121 | Val Loss: 3.2749e-01 | R²: 0.8784
Epoch 235 | Train Loss: 2.2917e-01 | R²: 0.9118 | Val Loss: 3.4772e-01 | R²: 0.8709
